,smiles,probs
41,O(CC=1C=C2C(=CC1)OCCN2CCCOC)[C@@H]3[C@H]([C@H](OCCCN4CCOCC4)CNC3)C5=CC=C(OC)C=C5,1.0
42,C(O)[C@H]1[C@@H](OC=2C(O1)=CC=C(C2)[C@H]3OC=4C(C(=O)[C@@H]3O)=C(O)C=C(O)C4)C5=CC(OC)=C(O)C=C5,0.9999932
43,O(CC=1C=C2C(=CC1)OCCN2CCCOC)[C@@H]3[C@H]([C@H](OCC(N(CC)C)=O)CNC3)C4=CC=C(COC)C=C4,0.99999976
44,O(CCCOC)C1=C(OC)C=CC(C[C@@H](C[C@@H]([C@H](CN2C(=O)C(C)(C)CCCC2)O)N)C(C)C)=C1,0.99989057
45,C(NC(C)(C)C)(=O)[C@H]1N(C[C@H]([C@H](CC2=CC=CC=C2)NC([C@@H](NC(OCC3=CC=CC=C3)=O)CC(N)=O)=O)O)CCC1,0.99989986
46,C(CCOC)C=1C=2C(NC1)=CC=C(C[C@@H](C[C@@H]([C@H](C[C@H](C(NCC(F)(F)F)=O)C(C)C)O)N)C(C)C)C2,0.99999034
47,[C@H]([C@@H]([C@H](CC1=CC=CC=C1)NC([C@@H](NC(OCC2=CC=CC=C2)=O)C(C)C)=O)O)(NC3=CC=C(C=C3)C4=CC=CC=C4)C(N[C@H](C(NCC=5NC=6C(N5)=CC=CC6)=O)C(C)C)=O,0.99964213
48,C(O)[C@@H]1C=2C(O[C@]1(C3=CC(OC)=C(O)C=C3)[H])=C(O)C=C(C2)[C@]4(OC=5C(C(=O)[C@@H]4O)=C(O)C=C(O)C5)[H],0.9999945
49,C(CCOC)N1C=2C(=CC=C(CO[C@@H]3[C@]([C@H](O)CNC3)(C4=CC=C(O[C@@H]5CN(CC5)C6=CC(F)=CC=C6)C=C4)[H])C2)OCC1,1.0
50,O(CC=1C=C2C(=CC1)OCCN2CCCOC)[C@@H]3[C@]([C@H](OCC(=O)N4[C@H](C)CCC4)CNC3)(C5=CC=C(COCC6CC6)C=C5)[H],0.9999813
51,C(=C/N(C(C)=O)C)\\C1=C(F)C=CC=C1,1.0
52,[C@@H](C(NCC(C)=O)=O)([C@H](CC)C)NC(OCC1=CC=CC=C1)=O,1.0
53,C(CCOC)N1C=2C(=CC=C(CO[C@@H]3[C@H]([C@H](O)CNC3)C4=CC=C(OCCCCOC)C=C4)C2)OCC1,1.0
54,C(CCOC)C=1C=2C(NC1)=CC=C(C[C@@H](C[C@@H]([C@H](C[C@H](C(NC(C)(C)C)=O)C(C)C)O)N)C(C)C)C2,0.9995989
